Language Name,Language Identifier (Rev79),Complete Chapters (Project),Translation Status (Project),Comments,Country (Project),Organization,Organization Role,All Access Goal (Rev79),All Access Goal Status (Rev79),Updated in Rev79,Sensitivity,Mode,Type of translation,Contact Person,Team Leader,Mentor,Standard Objectives,Chapters,Start Date,End Date,Last updated,Not approved yet chapters
Newar,new,0,Planned (to start in the next 12 months),This is the only one of five targeted languages in the Upper Shimla region that is found on the Ethnologue language list.,"India, Nepal",YWAM Los Angeles,,Bible,Goal Met in the language,Yes,,,,Silvana,,Silvana,,https://www.notion.so/uofncall/149a7a8d5e6e81b2bf1be5b891e828fe?v=149a7a8d5e6e8167948c000c29796dad,,,,
Ngäbere,gym,,Active,"Foi feito Rute no workshop como OBT, não se sabe se continuarão como OBT ou OMT",Panama,YWAM Panama,,NT / 260 Chapters,Goal Met in the language,,,,,,Bryan,Daniel,,https://www.notion.so/uofncall/14da7a8d5e6e81d29afee34cbc472190?v=14da7a8d5e6e81f9affa000c177127c7,,,16/06/2026,
Nyikina,nyh,0,Planned (to start in the next 12 months),,Australia,YWAM Perth,,,Not on All Access Goals List,Yes,,,,Jen,,,,https://www.notion.so/uofncall/13fa7a8d5e6e81c0af99fa29e0ad3cb6?v=13fa7a8d5e6e81b2bde5000c238ad3d6,,,,
Pattani ,lae,0,Active,Plan to translate New Testament and Proverbs,India,YWAM Los Angeles,,NT / 260 Chapters,Translation in Progress,No,,,,Silvana,,"Silvana ",,https://www.notion.so/uofncall/13fa7a8d5e6e81f6a383fd2e3fcc5a0a?v=13fa7a8d5e6e81ac99a7000c92e0987d,,,,
popoluca,poi,,Active,"They already have NT and Genesis, Psalms",Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,,Unrestricted,Oral,OMT,Mitch,,,"Bible Translation, Scripture and Church Engagement",,13/04/2023,,,
Purepecha - Angahuan,pua,63,Active,"Funds from Fatih comes by hearing, Plan to finish Deuteronomio, Luke and Acts","Mexico, United States",YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,Yes,Unrestricted,Oral,OBT - Traditional,Mitch,,Daniel Holmberg,"Bible Translation, Community Development, Scripture and Church Engagement",https://www.notion.so/uofncall/13fa7a8d5e6e81d28317f85642db9037?v=13fa7a8d5e6e8172b985000ce44b382c,01/03/2022,,,
purépecha de capacuaro,N/A,,Active,2007 - church engagement / community development - 2025 translation,Mexico,YWAM Morelia,Manages/Co-manages,,,,Unrestricted,Oral,OMT,Mitch,,,"Bible Translation, Community Development, Scripture and Church Engagement",,13/10/2007,,,
Purig Kargil,prx,4,Planned (to start in the next 12 months),,India,YWAM Los Angeles,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Suelen,,Raissa,,https://www.notion.so/uofncall/13ea7a8d5e6e81e4a324e46028817687?v=13ea7a8d5e6e81e29d9c000c876a9591,,,,
Sa'di of High Egypt,aec,110,Active,,Egypt,YWAM Egypt,Manages/Co-manages,Bible,Translation in Progress,Yes,Confidential,Oral,OBT - Traditional,Botros,Botros,Jen,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e81028a84f918f9eaba44?v=13fa7a8d5e6e819faf2a000caf225000,,,12/05/2025,
Salish,str,0,Progress Unknown,Plan to translate Luke,United States,YWAM Tribal Waves,,,Not on All Access Goals List,No,,,,Josh Lake,,Luciano?,,https://www.notion.so/uofncall/13fa7a8d5e6e81eeab79fa63dca7906e?v=13fa7a8d5e6e81e58f20000c6f29ebf3,,,,
Sanumá,xsu,4,Inactive (paused),"Plan to review New Testament in 2 years. Governo bloqueou entrada na aldeia. ",Brazil,"YWAM Casa - São Paulo, YWAM Porto Velho",,25 Chapters,Goal Met in the language,No,,,,Raíssa,Mimica,Pati Tivane,,https://www.notion.so/uofncall/13ea7a8d5e6e818d82e9c546adf2addd?v=13ea7a8d5e6e81a287ad000c80d18867,,,29/11/2024,
Sãotomense,cri,,,,São Tomé e Príncipe,YWAM Curitiba,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,,,,,,,,,,,,,
Sasak ,sas,0,Active,,Indonesia,YWAM Indonesia,,Bible,Translation in Progress,Yes,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e816ba49ece4bfad57cb2?v=13fa7a8d5e6e81829648000c89e99808,,,,
Sepa,spe,0,Active,vai em novembro pra treinamento,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e8189af91e786f2dcd19a?v=13fa7a8d5e6e81d497e4000cc2d68498,,,,
Shehri ,shv,0,Progress Unknown,,Australia,YWAM Perth,,NT / 260 Chapters,Translation in Progress,No,,,,Jen,,Jen / Chris,,https://www.notion.so/uofncall/13fa7a8d5e6e8156ab8ce53ff0252fb1?v=13fa7a8d5e6e81d49c56000c3a7e710c,,,,
Suruwaha,swx,4,Planned (to start in the next 12 months),"Plan to translate Matthew in 3 years (they only have 1 translator). em 2025 plano é continuar. ",Brazil,"YWAM Casa - São Paulo, YWAM Porto Velho",,25 Chapters,Translation in Progress,No,,,,Raíssa,Raissa,Raissa,,https://www.notion.so/uofncall/13ea7a8d5e6e81ee8e6ee3237335efcf?v=13ea7a8d5e6e811484f4000c0f67f0eb,,,29/11/2024,
Tenek (Huasteco),hus,16,Active,,Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,,Unrestricted,Oral,OBT - Traditional,Mitch,,Daniel,"Bible Translation, Scripture and Church Engagement",,16/06/2026,,,
Ternate ,tft,0,Inactive (paused),,Indonesia,YWAM Indonesia,,NT / 260 Chapters,Translation in Progress,Yes,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e81c6824ce329a128f874?v=13fa7a8d5e6e81f28a49000c31a7c551,,,,
Tetun,tet,0,Active,Plan to translate the Gospels and Acts until the end of 2026 // Ready Vessels=quase 8000 frases,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,No,,Oral,OBT - Traditional,Anabel,Sujana,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e812583d9d09dc9c73b54?v=13fa7a8d5e6e815b92f8000c8e0a5b0b,,,03/12/2024,
Ticuna,tca,,Canceled,They didn’t go to the workshop in Leticia - Raissa,"Colombia, Peru",YWAM Leticia,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Lori,,,,https://www.notion.so/uofncall/145a7a8d5e6e813aacdcf87bf57379ec?v=145a7a8d5e6e8173a40b000ca6d5c6f7,,,29/11/2024,
Tok Pisin (modern),tpi,0,Active,,Papua New Guinea,"YWAM Madang, YWAM Samoa",,NT / 260 Chapters,Goal Met in the language,No,,,,? it was on an old Isabela’s spreadsheet,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e81a4a638c13cf3752fc0?v=13fa7a8d5e6e81a2b8f1000ca5b5c6ff,,,,
Tsonga: Changana,tso,0,Active,OT portions & Translator training - The consultant is part of the team so they are on the last details,Mozambique,"YWAM Casa - São Paulo, YWAM Porto Velho",,Two Bibles,Goal Met in the language,Yes,,,,Rafa / Ciro,Gustavo,Pati Tivane,,https://www.notion.so/uofncall/145a7a8d5e6e81f8b6b1c72d08efcfd9?v=145a7a8d5e6e814da7be000c0e8beb30,,,28/11/2024,
Tukudede,tkd,0,Active,"Plan to translate the Gospels and Acts until the end of 2026 // Ready Vessels: ",East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Elizangela,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e818e8180fffb05a50bbe?v=13fa7a8d5e6e816f82cf000c8b733567,,,03/12/2024,
Tupari,tpr,4,Active,,Brazil,YWAM Porto Velho,,,Not on All Access Goals List,Yes,,,,Rafa / Ciro,Zita,Raissa,,https://www.notion.so/uofncall/13ea7a8d5e6e8190bf0ade4d43ad879b?v=13ea7a8d5e6e81ed8e5d000cfcae1c9f,,,28/11/2024,
Tupi Kawahiva: Amondawa,pah,,Canceled,"There’s another organization working with them, Porto velho will stay with the translation fo the Tenharim ",Brazil,YWAM Porto Velho,,,Not on All Access Goals List,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e8135ae1beef4e4c0d877?v=13ea7a8d5e6e81daadd4000c93e38d25,,,28/11/2024,
Tupi Kawahiva: Karipuna,pah,,Canceled,,Brazil,YWAM Porto Velho,,,Not on All Access Goals List,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e81e08e16d640eaa998f2?v=13ea7a8d5e6e81f3a1d1000ccff05ee3,,,28/11/2024,
Tupi Kawahiva: Parintintin,pah,,Active,,Brazil,YWAM Porto Velho,,,Not on All Access Goals List,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e8179914ee676014884a9?v=13ea7a8d5e6e8120a487000cae090535,,,16/06/2026,
Tupi Kawahiva: Tenharim,pah,0,Active,OT portions - Plan to translate the Gospels and Acts until the end of 2026,Brazil,YWAM Porto Velho,,25 Chapters,Goal Met in the language,Yes,,,,Rafa / Ciro,Lucas,Sil,,https://www.notion.so/uofncall/145a7a8d5e6e81f6bce8f7af9bd8c6e9?v=145a7a8d5e6e818e9f7a000cb98f6e45,,,28/11/2024,
Urarina,ura,0,Inactive (paused),eles começaram mas tem outras organizações envolvidas,Peru,YWAM Aurora,,25 Chapters,Goal Met in the language,No,,,,Fresia,Fresia,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e81edad6cc5357cb97a22?v=13fa7a8d5e6e8168ba75000c817801ff,,,29/11/2024,
Uru-Eu-Wau-Wau,urz,,Canceled,Cancel on rev79 - Tupi Kawahiva breac,Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e8115beefe1fce7c59f2e?v=145a7a8d5e6e81b4bd50000c671bef3a,,,28/11/2024,
Wab,,,,"vão pro treinamento ",Papua New Guinea,YWAM Madang,,,,,,,,,,,,,,,,
Waima’a,wmh,0,Active,Will start 2025,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e81b1b6f6d0f5bd9cb5f9?v=149a7a8d5e6e8160993d000c0c427b53,,,16/06/2026,
Warnang,wrn,0,Inactive (paused),Engaged in Language Development,Sudan,YWAM Arua,,25 Chapters,Translation in Progress,Yes,,,,Suzuki,,Suzuki,,https://www.notion.so/uofncall/13ea7a8d5e6e8176a2b6d3b66780475f?v=13ea7a8d5e6e81eb81c5000c3cee5404,,,,
Waube,kop,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e811e8620e28d1f8c732e?v=145a7a8d5e6e8114a87a000c611647fa,,,,
Welaun,wlh,0,Planned (to start in the next 12 months),Will start 2025,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e81c4ae22f663acfc8bea?v=149a7a8d5e6e81d99cfd000cb6982984,,,03/12/2024,
Wounaan,noa,0,Active,,Colombia,YWAM Leticia,,NT / 260 Chapters,Goal Met in the language,No,,,,Lori,Edwin,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e810e86a5eebe6ac5dd25?v=13fa7a8d5e6e81669ac3000cb43016b3,,,16/06/2026,
Yanomami Hakoma,wca,0,Canceled,They don’t have a team,Brazil,YWAM Porto Velho,,NT / 260 Chapters,Translation in Progress,No,,,,Betania,,,,https://www.notion.so/uofncall/13fa7a8d5e6e81b5b6abd88f1391e174?v=13fa7a8d5e6e81c99fd0000c3fc29894,,,28/11/2024,
Yoidik,ydk,0,Active,não fizeram o treinamento ainda,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e8145ac03efd8d08e0e13?v=13fa7a8d5e6e81e78bd4000cd763a3f5,,,16/06/2026,
Zapoteco de Santiago Lachirigi,zpa,4,Active,SeedCompany will fund the project,Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,,Confidential,Oral,OBT - Traditional,Mitch,,Daniel,"Bible Translation, Community Development",,13/10/2023,,,
Zoque de Francisco León,zos,6,Active,"Working with Scripture Engagement, They have New Testaments made by foreigners they need to appropriate themselves of the Bible",Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,Yes,Unrestricted,Oral,OBT - Traditional,Mitch,,Daniel Holmberg,"Bible Translation, Scripture and Church Engagement",https://www.notion.so/uofncall/13fa7a8d5e6e8186b77cf180b7f20b01?v=13fa7a8d5e6e8127b397000cdd36a81e,01/10/2023,,,
,,,,,,,,,,,,,,,,,,,,,,
