Language Name,All Access Goal (Rev79),All Access Goal Status (Rev79),Chapters,Comments,Complete Chapters (Project),Contact Person,Country (Project),End Date,Language Identifier (Rev79),Last updated,Mentor,Mode,Not approved yet chapters,Organization,Organization Role,Sensitivity,Standard Objectives,Start Date,Team Leader,Translation Status (Project),Type of translation,Updated in Rev79
Koti,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e8153a54dd9b7ad4cf60f?v=145a7a8d5e6e8136a173000c438e76b5,OT portions & translator training,0,Rafa / Ciro,Mozambique,,eko,16/06/2026,,,,YWAM Porto Velho,,,,,,Active,,Yes
Makhuwa,Bible,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e8198a5e9d14d07c9aafb?v=145a7a8d5e6e81e4a4f0000c2c6dd4f8,OT portions & translator training // tem dois dialetos mas que só tem um tradutor,0,Rafa / Ciro,Mozambique,,vmw,28/11/2024,,,,YWAM Porto Velho,,,,,,Active,,Yes
Mansoanka,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e819fafbeea7d78cae013?v=145a7a8d5e6e8150ad98000c03a4d1bd,OT portions & translator training,0,Rafa / Ciro,Guinea-Bissau,,msw,28/11/2024,,,,YWAM Porto Velho,,,,,,Active,,Yes
Matis,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e817ebb5ec612db385d7f?v=145a7a8d5e6e810498ac000c91af159d,It’ll start in January,0,Rafa / Ciro,Brazil,,mpq,28/11/2024,Betania,,,YWAM Porto Velho,,,,,Genielson Junior,Planned (to start in the next 12 months),,Yes
Ndau,Bible,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e81a3bef8da2d756dc155?v=145a7a8d5e6e816d8ffa000ce09c3f13,OT translation & translator training,0,Rafa / Ciro,Mozambique,,ndc,16/06/2026,,,,YWAM Porto Velho,,,,,,Active,,Yes
Tsonga: Changana,Two Bibles,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e81f8b6b1c72d08efcfd9?v=145a7a8d5e6e814da7be000c0e8beb30,OT portions & Translator training - The consultant is part of the team so they are on the last details,0,Rafa / Ciro,Mozambique,,tso,28/11/2024,Pati Tivane,,,"YWAM Casa - São Paulo, YWAM Porto Velho",,,,,Gustavo,Active,,Yes
Awar: Nubia,,N/A,https://www.notion.so/uofncall/145a7a8d5e6e81409022eba8efa8b455?v=145a7a8d5e6e8195a6d1000cb0a83499,,,Pati & Marcos,Papua New Guinea,,aya,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Beopour,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e81eba676cfa9244f4e64?v=145a7a8d5e6e8104a890000cb27765d3,"ainda vai fazer treinamento / lingua está em risco ",,Pati & Marcos,Papua New Guinea,,bie,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Bonkiman,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e815aa0dbf5e2683add07?v=145a7a8d5e6e8171abee000c0d1d5c30,,,Pati & Marcos,Papua New Guinea,,bop,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Forak,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e81588d08f3714a031365?v=145a7a8d5e6e819497f1000c472294e0,,,Pati & Marcos,Papua New Guinea,,frq,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Gangalu,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e81ceb200e199eaf76aaa?v=145a7a8d5e6e81af99e7000cedc68684,,,Pati & Marcos,Papua New Guinea,,ggl,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Garus,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e81fda34de6247c3ea053?v=145a7a8d5e6e81f28d3e000c58cad3aa,esperando rodar um treinamento pra entender se é a msm lingua Yoidik,,Pati & Marcos,Papua New Guinea,,gyb,,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Guya,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e81e187cffc076b6c4390?v=145a7a8d5e6e81c69f12000ced523451,,,Pati & Marcos,Papua New Guinea,,gka,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Kowaki,,N/A,https://www.notion.so/uofncall/145a7a8d5e6e81d08891ec3ba9b35956?v=145a7a8d5e6e81db8c45000cdba1a405,"CD & SE are active, not sure about BT / fizeram survey mas lingua em risco, não tem igreja no local",,Pati & Marcos,Papua New Guinea,,xow,,Pati Beltramini,,,YWAM Madang,,,,,,Progress Unknown,,Yes
Lemio,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e817897ffd4c13fda7ec1?v=145a7a8d5e6e817294fa000c2448c979,,,Pati & Marcos,Papua New Guinea,,lei,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Mala,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e811fb65aedcc7489e197?v=145a7a8d5e6e8161a2fd000c9e9ef475,,,Pati & Marcos,Papua New Guinea,,mmt,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Moere,,N/A,https://www.notion.so/uofncall/145a7a8d5e6e811db7b3e1fee0452170?v=145a7a8d5e6e8127974c000ca11b2b49,SE & CD active,,Pati & Marcos,Papua New Guinea,,mvq,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Mosimo,,N/A,https://www.notion.so/uofncall/145a7a8d5e6e816dbf2ce04cc8c3e2a3?v=145a7a8d5e6e8189b99c000cb1a9ecc3,SE & CD Active / fizeram survey mas lingua em risco,,Pati & Marcos,Papua New Guinea,,mqv,,Pati Beltramini,,,YWAM Madang,,,,,,Progress Unknown,,Yes
Mur Pano,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e812db4accefd27f3cc67?v=145a7a8d5e6e81979347000cba7bf65f,vão pro treinamento,,Pati & Marcos,Papua New Guinea,,tkv,16/06/2026,Pati Beltramini,,,YWAM Madang,,,,,,Active,,Yes
Musar,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e81f6b993fa1a2ee8f2c9?v=145a7a8d5e6e8174b0f4000c1b2fbdd5,,,Pati & Marcos,Papua New Guinea,,mmi,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Waube,25 Chapters,Translation not Started,https://www.notion.so/uofncall/145a7a8d5e6e811e8620e28d1f8c732e?v=145a7a8d5e6e8114a87a000c611647fa,,,Pati & Marcos,Papua New Guinea,,kop,,Pati Beltramini,,,YWAM Madang,,,,,,Planned (to start in the next 12 months),,Yes
Baikeno,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e814f8119ebbd31941bfb?v=149a7a8d5e6e8170ac33000c906da1df,,0,"Anabel ",East Timor,,bkx,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Bunak,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e81b5942ffd3e30e123c2?v=149a7a8d5e6e811fbf04000c15a67f59,Will start 2025,0,Anabel,East Timor,,bfn,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Galolen,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e81b3985ec0124b90ca33?v=149a7a8d5e6e81a9b226000c83ce9089,Will start 2025 // Ready Vessels: (alvo 100h de gravação / 5h de transcrição),0,Anabel,East Timor,,gal,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Habun,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e8198af99ed9db1515fe7?v=149a7a8d5e6e81ebb552000cd2da0c3c,"Will start 2025 // Ready Vessels: ",0,Anabel,East Timor,,hbu,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Kairui-Midiki,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e8122bcd1d06e6cb739f1?v=149a7a8d5e6e81a49e22000c0c46a810,,0,Anabel,East Timor,,krd,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Kemak,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e817cb6ade1db4592b981?v=149a7a8d5e6e813495b9000c5a0c4879,Will start 2025,0,Anabel,East Timor,,kem,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Waima’a,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e81b1b6f6d0f5bd9cb5f9?v=149a7a8d5e6e8160993d000c0c427b53,Will start 2025,0,Anabel,East Timor,,wmh,16/06/2026,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Active,OBT - Traditional,Yes
Welaun,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/149a7a8d5e6e81c4ae22f663acfc8bea?v=149a7a8d5e6e81d99cfd000cb6982984,Will start 2025,0,Anabel,East Timor,,wlh,03/12/2024,Raissa,Oral,,YWAM East Timor,Manages/Co-manages,,Bible Translation,,Anabel,Planned (to start in the next 12 months),OBT - Traditional,Yes
Newar,Bible,Goal Met in the language,https://www.notion.so/uofncall/149a7a8d5e6e81b2bf1be5b891e828fe?v=149a7a8d5e6e8167948c000c29796dad,This is the only one of five targeted languages in the Upper Shimla region that is found on the Ethnologue language list.,0,Silvana,"India, Nepal",,new,,Silvana,,,YWAM Los Angeles,,,,,,Planned (to start in the next 12 months),,Yes
"Asháninka ",NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/14da7a8d5e6e81e2bb14e5b004f0b2dd?v=14da7a8d5e6e81858db9000ce11a2663,"eles começaram mas estão aguardando ",0,Fresia,Peru,,cni,29/11/2024,Daniel,,,YWAM Aurora,,,,,Fresia,Inactive (paused),,No
Ngäbere,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/14da7a8d5e6e81d29afee34cbc472190?v=14da7a8d5e6e81f9affa000c177127c7,"Foi feito Rute no workshop como OBT, não se sabe se continuarão como OBT ou OMT",,,Panama,,gym,16/06/2026,Daniel,,,YWAM Panama,,,,,Bryan,Active,,
Manam,,,,vão pro treinamento de Lucas,,,Papua New Guinea,,mva,,,,,YWAM Madang,,,,,,Active,,
Sãotomense,NT / 260 Chapters,Translation in Progress,,,,,São Tomé e Príncipe,,cri,,,,,YWAM Curitiba,Manages/Co-manages,,,,,,,
Wab,,,,"vão pro treinamento ",,,Papua New Guinea,,,,,,,YWAM Madang,,,,,,,,
purépecha de capacuaro,,,,2007 - church engagement / community development - 2025 translation,,Mitch,Mexico,,N/A,,,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Community Development, Scripture and Church Engagement",13/10/2007,,Active,OMT,
Tenek (Huasteco),NT / 260 Chapters,Goal Met in the language,,,16,Mitch,Mexico,,hus,,Daniel,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Scripture and Church Engagement",16/06/2026,,Active,OBT - Traditional,
Zapoteco de Santiago Lachirigi,NT / 260 Chapters,Translation in Progress,,SeedCompany will fund the project,4,Mitch,Mexico,,zpa,,Daniel,Oral,,YWAM Morelia,Manages/Co-manages,Confidential,"Bible Translation, Community Development",13/10/2023,,Active,OBT - Traditional,
mixteco de Magdalena Peñasco,NT / 260 Chapters,Goal Met in the language,,"Maybe will change to OBT, they already have the NT working on the OT",18,Mitch,Mexico,,xtm,,,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Scripture and Church Engagement",13/04/2024,,Active,OMT,
Mixteco de San Esteban Atatlahuca ,NT / 260 Chapters,Goal Met in the language,,"Maybe will change to OBT, they have the NT working on the OT",4,Mitch,Mexico,,mib,,,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Scripture and Church Engagement",13/04/2025,,Active,OMT,
popoluca,NT / 260 Chapters,Goal Met in the language,,"They already have NT and Genesis, Psalms",,Mitch,Mexico,,poi,,,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Scripture and Church Engagement",13/04/2023,,Active,OMT,
Fataluku,,,,// Ready Vessels: (alvo 100h de gravação / 5h de transcrição),,,,,,,,,,YWAM East Timor,,,,,,,,
Makasae,,,,"// Ready Vessels: ",,,,,,,,,,YWAM East Timor,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Kimberly Kriol,NT / 260 Chapters,Goal Met in the language,,,,,Australia,,Rop,16/06/2026,,,,YWAM Perth,,,,,,Active,,
